,GEOID,Agency No.,geodesic_distance_miles,estimated_road_distance_miles,distance_meters,distance_text,drive_time_seconds,total_traveltime,drive_time_text,road_factor,average_speed_mph,status,Latitude,Longitude,TRACT_LAT_COL,TRACT_LNG_COL,County
0,37183052002.0,Fuquay-Varina Growers Market,16.899,21.124,33995.414,21.1 mi,2535,42.25,42 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
1,37183052002.0,Pine Acres Community Center,16.936,21.17,34070.453,21.2 mi,2540,42.333,42 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
2,37183052002.0,Sherrill’s University of Cosmetology,2.207,2.759,4440.499,2.8 mi,331,5.517,6 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
3,37183052002.0,Raleigh Church of Christ,6.967,8.708,14014.9,8.7 mi,1045,17.417,17 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
4,37183052002.0,The Rock Church,3.629,4.536,7299.784,4.5 mi,544,9.067,9 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
5,37183052002.0,Regeneration Temple,4.882,6.103,9821.81,6.1 mi,732,12.2,12 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
6,37183052002.0,Redeeming Love Missionary Baptist Church,1.394,1.742,2803.498,1.7 mi,209,3.483,3 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
7,37183052002.0,Historic Oak View Park,1.532,1.915,3081.68,1.9 mi,230,3.833,4 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
8,37183052002.0,Poe Center for Health Ed.,1.183,1.479,2380.783,1.5 mi,178,2.967,3 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
9,37183052002.0,New Hope Baptist Church,5.434,6.792,10930.513,6.8 mi,815,13.583,14 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
10,37183052002.0,Wake County Public Health,1.117,1.397,2247.756,1.4 mi,168,2.8,3 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
11,37183052002.0,Peach Road Community Center,3.563,4.453,7167.058,4.5 mi,534,8.9,9 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
12,37183052002.0,Wake County Northern Regional Center,14.855,18.569,29884.143,18.6 mi,2228,37.133,37 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
13,37183052002.0,Wendell Parks and Recreation,12.241,15.302,24625.821,15.3 mi,1836,30.6,31 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
14,37183052002.0,Beech Bluff County Park,13.346,16.682,26847.043,16.7 mi,2002,33.367,33 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
15,37183052002.0,Wakefield Missionary Baptist,16.551,20.688,33294.422,20.7 mi,2483,41.383,41 mins,1.25,30,ESTIMATED,,,35.767308,-78.599006,183
16,37183053507.0,Fuquay-Varina Growers Market,13.409,16.761,26974.065,16.8 mi,2011,33.517,34 mins,1.25,30,ESTIMATED,,,35.779256,-78.791398,183
17,37183053507.0,Pine Acres Community Center,13.475,16.844,27108.095,16.8 mi,2021,33.683,34 mins,1.25,30,ESTIMATED,,,35.779256,-78.791398,183
18,37183053507.0,Sherrill’s University of Cosmetology,11.589,14.486,23312.527,14.5 mi,1738,28.967,29 mins,1.25,30,ESTIMATED,,,35.779256,-78.791398,183
19,37183053507.0,Raleigh Church of Christ,3.85,4.813,7745.173,4.8 mi,578,9.633,10 mins,1.25,30,ESTIMATED,,,35.779256,-78.791398,183
